Yaoqiang Airport	Zhoushuizi Airport	12
Xuzhou Guanyin Airport	Zhoushuizi Airport	2
Lanzhou Zhongchuan Airport	Dunhuang Airport	4
Taoxian Airport	Ordos Ejin Horo Airport	2
Nanjing Lukou Airport	Dayong Airport	4
Xi'an Xianyang International Airport	Fuzhou Changle International Airport	10
Lhasa Gonggar Airport	Gannan Xiahe Airport	2
Xi'an Xianyang International Airport	Gannan Xiahe Airport	2
Hangzhou Xiaoshan International Airport	Haikou Meilan International Airport	14
Ningbo Lishe International Airport	Haikou Meilan International Airport	4
Zhuhai Jinwan Airport	Haikou Meilan International Airport	6
Longdongbao Airport	Hangzhou Xiaoshan International Airport	12
Tianjin Binhai International Airport	Hangzhou Xiaoshan International Airport	10
Taiyuan Wusu Airport	Hangzhou Xiaoshan International Airport	10
Yichang Sanxia Airport	Chek Lap Kok International Airport	2
Zhanjiang Airport	Chek Lap Kok International Airport	2
Yinchuan Airport	Taiping Airport	2
Ningbo Lishe International Airport	Taiping Airport	4
Nanjing Lukou Airport	Taiping Airport	6
Shijiazhuang Daguocun International Airport	Taiping Airport	6
Yaoqiang Airport	Taiping Airport	14
Tianjin Binhai International Airport	Taiping Airport	16
Wenzhou Yongqiang Airport	Taiping Airport	2
Wuhan Tianhe International Airport	Taiping Airport	2
Xi'an Xianyang International Airport	Taiping Airport	10
Xuzhou Guanyin Airport	Taiping Airport	2
Guilin Liangjiang International Airport	Yinchuan Airport	2
Lanzhou Zhongchuan Airport	Jiayuguan Airport	6
Kunming Changshui International Airport	Xishuangbanna Gasa Airport	20
Longdongbao Airport	Quanzhou Jinjiang International Airport	6
Wuhan Tianhe International Airport	Quanzhou Jinjiang International Airport	6
Ürümqi Diwopu International Airport	Kashgar Airport	18
Kunming Changshui International Airport	Nanchang Changbei International Airport	8
Ningbo Lishe International Airport	Nanchang Changbei International Airport	4
Longdongbao Airport	Kunming Changshui International Airport	14
Mangshi Airport	Kunming Changshui International Airport	6
Ningbo Lishe International Airport	Kunming Changshui International Airport	4
Nanjing Lukou Airport	Kunming Changshui International Airport	16
Liuting Airport	Kunming Changshui International Airport	6
Yaoqiang Airport	Kunming Changshui International Airport	12
Taiwan Taoyuan International Airport	Kunming Changshui International Airport	4
Wanxian Airport	Kunming Changshui International Airport	2
Xi'an Xianyang International Airport	Kunming Changshui International Airport	16
Xiamen Gaoqi International Airport	Kunming Changshui International Airport	16
Xuzhou Guanyin Airport	Kunming Changshui International Airport	2
Xiamen Gaoqi International Airport	Ganzhou Airport	2
Lanzhou Zhongchuan Airport	Longdongbao Airport	2
Sanya Phoenix International Airport	Longdongbao Airport	8
Wenzhou Yongqiang Airport	Longdongbao Airport	6
Xuzhou Guanyin Airport	Longdongbao Airport	4
Shijiazhuang Daguocun International Airport	Guilin Liangjiang International Airport	4
Sanya Phoenix International Airport	Guilin Liangjiang International Airport	2
Tianjin Binhai International Airport	Lanzhou Zhongchuan Airport	4
Mianyang Airport	Lijiang Airport	2
Xi'an Xianyang International Airport	Lhasa Gonggar Airport	6
Xining Caojiabu Airport	Lhasa Gonggar Airport	4
Xi'an Xianyang International Airport	Shubuling Airport	2
Nanjing Lukou Airport	Mianyang Airport	2
Sanya Phoenix International Airport	Mianyang Airport	2
Xining Caojiabu Airport	Mianyang Airport	2
Taoxian Airport	Ningbo Lishe International Airport	2
Sanya Phoenix International Airport	Ningbo Lishe International Airport	4
Sanya Phoenix International Airport	Nanjing Lukou Airport	6
Tan Son Nhat International Airport	Nanning Wuxu Airport	2
Wuhan Tianhe International Airport	Nanning Wuxu Airport	14
Wanxian Airport	Beijing Capital International Airport	2
Zhongwei Shapotou Airport	Beijing Capital International Airport	2
Saipan International Airport	Shanghai Pudong International Airport	2
Taiyuan Wusu Airport	Taoxian Airport	8
Xuzhou Guanyin Airport	Taoxian Airport	2
Vancouver International Airport	Taoxian Airport	2
Yaoqiang Airport	Sanya Phoenix International Airport	4
Wenzhou Yongqiang Airport	Sanya Phoenix International Airport	6
Yibin Caiba Airport	Sanya Phoenix International Airport	2
Wanxian Airport	Shenzhen Bao'an International Airport	2
Xi'an Xianyang International Airport	Yaoqiang Airport	14
Xi'an Xianyang International Airport	Ürümqi Diwopu International Airport	18
Xi'an Xianyang International Airport	Yulin Yuyang Airport	8
Xiamen Gaoqi International Airport	Xi'an Xianyang International Airport	14
Xining Caojiabu Airport	Xi'an Xianyang International Airport	18
Yibin Caiba Airport	Xi'an Xianyang International Airport	2
Zhongwei Shapotou Airport	Xining Caojiabu Airport	2
Los Angeles International Airport	McCarran International Airport	18
Ben Gurion International Airport	Cairo International Airport	2
Nikolai Airport	McGrath Airport	2
Tatalina LRRS Airport	McGrath Airport	1
Vnukovo International Airport	Beloyarskiy Airport	2
Vnukovo International Airport	Nukus Airport	2
Roshchino International Airport	Novy Urengoy Airport	4
Ufa International Airport	Novy Urengoy Airport	4
Vnukovo International Airport	Novy Urengoy Airport	4
Sovetskiy Airport	Nadym Airport	2
Vnukovo International Airport	Nadym Airport	2
Koltsovo Airport	Sovetskiy Airport	2
Vnukovo International Airport	Sovetskiy Airport	2
Vnukovo International Airport	Ukhta Airport	2
Dhaka / Hazrat Shahjalal International Airport	Suvarnabhumi Airport	12
Dhaka / Hazrat Shahjalal International Airport	Barisal Airport	2
Shah Amanat International Airport	Netaji Subhash Chandra Bose International Airport	4
